Fluid Name,Metal: Alloy-20,Metal: Aluminum,Metal: Brass,Metal: Bronze,Metal: Cast iron / Nodular iron,Metal: Cast Steel,Metal: Monel,Metal: Stainless steel EN-1.4301 (AISI-304),Metal: Stainless steel EN-1.4401 (AISI-316),Elastic: Buna-nitrile,Elastic: Butyl,Elastic: E.P.D.M.,Elastic: HYPALON ® Polyethylene chlorosulphonated,Elastic: KALREZ ® Perfluoroelastomer,Elastic: Natural rubber,Elastic: Neoprene,Elastic: Silicone,Elastic: TEFLON ® Polytetrafluorethylene,Elastic: VITON ® Fluorelastomer
Potassium bisulfate,B,C,D,C,D,D,D,B,B,D,A,A,A,E,B,B,D,A,D
Potassium bromide,A,C,D,C,D,D,B,A,A,B,A,A,A,E,B,A,D,A,D
Potassium carbonate,B,C,B,B,B,B,B,B,B,B,B,A,A,E,A,A,D,A,D
Potassium chlorate,B,C,B,B,B,B,B,B,B,D,B,A,A,E,B,B,D,A,A
Potassium chloride,C,B,D,B,B,C,B,C,C,B,A,A,A,E,A,A,D,A,D
Potassium cyanide,B,D,D,D,B,B,B,B,B,D,B,A,A,E,B,B,D,A,A
Potassium dichromate,B,A,D,D,C,C,B,B,B,B,A,A,A,E,A,A,B,A,D
Potassium dihydrogenphosphate,A,B,B,B,A,A,B,A,A,B,A,A,A,E,A,A,B,A,D
Potassium ferricyanide,B,B,C,D,C,C,B,B,B,D,D,A,A,E,B,B,D,A,D
Potassium ferrocyanide,B,B,B,B,C,C,B,B,B,D,B,A,A,E,B,B,D,A,D
Potassium hydroxide (diluted cold),A,D,D,D,A,A,A,A,A,D,B,A,A,E,B,B,D,A,D
Potassium hydroxide (diluted hot),A,D,D,D,B,B,A,A,A,D,B,A,A,E,B,B,D,A,D
Potassium iodide,B,D,D,D,C,C,B,B,B,B,C,A,A,E,A,C,D,A,D
Potassium nitrate,B,B,B,A,B,B,B,B,B,C,B,A,A,E,A,B,D,A,D
Potassium permanganate,B,B,B,B,B,B,A,B,B,D,C,A,C,E,C,C,D,A,A
Potassium sulfide,A,B,C,B,B,B,B,A,A,C,B,A,A,E,A,B,D,A,D
